Provider,product,Price,CPU_RAM_price,Storage_price,licensed_OS_price,internal_egress_price,external_egress_price,internal_egress,external_egress,CPU,RAM,STORAGE,Regional_redundancy,Autoscaling,Payment_option,Term_Length,Instance_Type,Disk_type,OS,Region
Amazon,EKS40,2.69715,1.423,0.01388,0,0.0273973,1.2329,1000,10000,8,32,400,yes,horizontal,All upfront,3 Year commitment,Dedicated,SSD,free,US
Amazon,ECS1,2.15952,0.868,0.03125,0,0.0273973,1.2329,1000,10000,8,32,1000,yes,horizontal,no upfront,No commitment,On Demand,SSD,free,Europe
Amazon,ECS2,1.95352,0.662,0.03125,0,0.0273973,1.2329,1000,10000,8,32,1000,yes,horizontal,All upfront,1 Year commitment,On Demand,SSD,Windows,Europe
Amazon,ECS3,1.85952,0.568,0.03125,0,0.0273973,1.2329,1000,10000,8,32,1000,yes,horizontal,partially upfront,3 Year commitment,On Demand,SSD,Windows,Europe
Amazon,ECS4,1.80311,0.3472,0.03125,0,0.0273973,1.3973,1000,12000,8,32,1000,yes,horizontal,no upfront,No commitment,Spot,SSD,free,Europe
Amazon,ECS5,1.90091,0.445,0.03125,0,0.0273973,1.3973,1000,12000,8,32,1000,yes,horizontal,no upfront,1 Year commitment,On Demand,SSD,Linux,Europe
Amazon,ECS6,1.88591,0.43,0.03125,0,0.0273973,1.3973,1000,12000,8,32,1000,yes,horizontal,partially upfront,1 Year commitment,On Demand,SSD,Linux,Europe
Amazon,ECS7,1.77391,0.318,0.03125,0,0.0273973,1.3973,1000,12000,8,32,1000,yes,horizontal,All upfront,3 Year commitment,On Demand,SSD,Linux,Europe
Amazon,ECS8,1.80191,0.346,0.03125,0,0.0273973,1.3973,1000,12000,8,32,1000,yes,horizontal,no upfront,3 Year commitment,On Demand,SSD,Linux,Europe
Amazon,ECS9,1.74991,0.294,0.03125,0,0.0273973,1.3973,1000,12000,8,32,1000,yes,horizontal,All upfront,1 Year commitment,On Demand,SSD,free,Europe
Amazon,ECS10,1.6713,0.188,0.03125,0,0.0547945,1.3973,2000,12000,8,32,1000,yes,horizontal,partially upfront,3 Year commitment,On Demand,SSD,free,Europe
Amazon,ECS11,0.14261,0.1364,0.00347,0,0.0027397,0,100,600,2,8,100,yes,horizontal,no upfront,No commitment,On Demand,SSD,Windows,Asia
Amazon,ECS12,0.08244,0.0728,0.0069,0,0.0027397,0,100,600,2,4,200,yes,horizontal,no upfront,No commitment,On Demand,SSD,Windows,Asia
Amazon,ECS13,0.41115,0.398,0.01041,0,0.0027397,0,100,600,4,8,300,yes,horizontal,no upfront,No commitment,On Demand,SSD,Windows,Asia
Amazon,ECS14,0.30774,0.2912,0.0138,0,0.0027397,0,100,600,4,16,400,yes,horizontal,no upfront,No commitment,On Demand,SSD,Windows,Asia
Amazon,ECS15,3.96482,1.592,0.01666,0,0.0273973,2.3288,1000,20000,16,32,500,yes,horizontal,no upfront,No commitment,On Demand,SSD,Windows,Asia
Amazon,ECS16,4.15606,1.768,0.0319,0,0.0273973,2.3288,1000,20000,16,64,1000,yes,horizontal,no upfront,No commitment,On Demand,SSD,Windows,Asia
Amazon,ECS17,4.19163,1.832,0.00347,0,0.0273973,2.3288,1000,20000,16,128,100,yes,horizontal,no upfront,No commitment,On Demand,SSD,Windows,Asia
Amazon,ECS18,5.61764,3.008,0.0069,0,0.2739726,2.3288,10000,20000,32,64,200,yes,horizontal,no upfront,No commitment,On Demand,SSD,Windows,Asia
Amazon,ECS19,6.07254,3.456,0.0138,0,0.2739726,2.3288,10000,20000,32,128,500,yes,horizontal,no upfront,No commitment,On Demand,SSD,Windows,Asia
Amazon,ECS20,4.66554,2.0309,0.0319,0,0.2739726,2.3288,10000,20000,32,128,1000,yes,horizontal,no upfront,No commitment,Spot,SSD,Windows,Asia
