Provider,product,Price,CPU_RAM_Price,Storage_Price,Cluster_fee,licensed_OS,Hybrid_support,internal_egress_price,external_egress_price,internal_egress,external_egress,CPU,RAM,STORAGE,Cluster_management_fee,Regional_redundancy,Autoscaling,Vendor_lock-in,Payment_option,Term_Length,Instance_Type,Disk_type,OS,Hybrid_multicloud_support,Pay_per_pod_usage,Region,Built-in_authentication,self-recovery_features,automate_backup_tasks,Versioning&upgrades
Amazon,RH20,7.58031,0.732,0.0159,0.03,0,0.912,0.2739726,5.6164,10000,50000,32,128,500,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH21,3.03688,1.2862,0.0159,0.03,0,0.513,0.0273973,1.1644,10000,10000,12,48,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH22,0.66162,0.2776,0.0159,0.03,0,0.171,0.0027397,0.1644,100,1000,4,16,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH23,0.48102,0.154,0.0159,0.03,0,0.114,0.0027397,0.1644,100,1000,4,16,500,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH24,1.57968,,0.0159,0.03,0,0.342,0.0273973,1.1644,10000,10000,12,48,500,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH25,1.57968,,0.0159,0.03,0,0.342,0.0273973,1.1644,10000,10000,12,48,500,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH26,2.56528,0.6436,0.0159,0.03,0,0.684,0.0273973,1.1644,10000,10000,16,32,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH27,2.14768,0.454,0.0159,0.03,0,0.456,0.0273973,1.1644,10000,10000,16,32,500,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH28,2.12568,0.432,0.0159,0.03,0,0.456,0.0273973,1.1644,10000,10000,16,32,500,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH29,2.01668,0.323,0.0159,0.03,0,0.456,0.0273973,1.1644,10000,10000,16,32,500,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH30,2.04568,0.352,0.0159,0.03,0,0.456,0.0273973,1.1644,10000,10000,16,32,500,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH31,9.01831,1.714,0.0159,0.03,0,1.368,0.2739726,5.6164,10000,50000,32,128,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH32,7.98631,1.138,0.0159,0.03,0,0.912,0.2739726,5.6164,10000,50000,32,128,500,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH33,7.93831,1.09,0.0159,0.03,0,0.912,0.2739726,5.6164,10000,50000,32,128,500,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH34,7.91931,1.071,0.0159,0.03,0,0.912,0.2739726,5.6164,10000,50000,32,128,500,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH35,7.66931,0.821,0.0159,0.03,0,0.912,0.2739726,5.6164,10000,50000,32,128,500,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH36,7.61831,0.77,0.0159,0.03,0,0.912,0.2739726,5.6164,10000,50000,32,128,500,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH37,9.11431,1.81,0.0159,0.03,0,1.368,0.2739726,5.6164,10000,50000,32,128,500,yes,yes,both,no,no upfront,No commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH38,7.67631,0.828,0.0159,0.03,0,0.912,0.2739726,5.6164,10000,50000,32,128,500,yes,yes,both,no,All upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH39,7.71431,0.866,0.0159,0.03,0,0.912,0.2739726,5.6164,10000,50000,32,128,500,yes,yes,both,no,partially upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH40,7.76531,0.917,0.0159,0.03,0,0.912,0.2739726,5.6164,10000,50000,32,128,500,yes,yes,both,no,no upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH41,8.08231,1.234,0.0159,0.03,0,0.912,0.2739726,5.6164,10000,50000,32,128,500,yes,yes,both,no,no upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH42,8.03431,1.186,0.0159,0.03,0,0.912,0.2739726,5.6164,10000,50000,32,128,500,yes,yes,both,no,partially upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH43,8.01531,1.167,0.0159,0.03,0,0.912,0.2739726,5.6164,10000,50000,32,128,500,yes,yes,both,no,All upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH44,0.52402,0.197,0.0159,0.03,0,0.114,0.0027397,0.1644,100,1000,4,16,500,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH45,0.51802,0.191,0.0159,0.03,0,0.114,0.0027397,0.1644,100,1000,4,16,500,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH46,0.51502,0.188,0.0159,0.03,0,0.114,0.0027397,0.1644,100,1000,4,16,500,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH47,0.47402,0.147,0.0159,0.03,0,0.114,0.0027397,0.1644,100,1000,4,16,500,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH48,0.46902,0.142,0.0159,0.03,0,0.114,0.0027397,0.1644,100,1000,4,16,500,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH49,0.55102,0.167,0.0159,0.03,0,0.171,0.0027397,0.1644,100,1000,4,16,500,yes,yes,both,no,no upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH50,0.61882,0.2918,0.0159,0.03,0,0.114,0.0027397,0.1644,100,1000,4,16,500,yes,yes,both,no,no upfront,No commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH51,0.53702,0.21,0.0159,0.03,0,0.114,0.0027397,0.1644,100,1000,4,16,500,yes,yes,both,no,no upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH52,0.53102,0.204,0.0159,0.03,0,0.114,0.0027397,0.1644,100,1000,4,16,500,yes,yes,both,no,partially upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH53,0.52802,0.201,0.0159,0.03,0,0.114,0.0027397,0.1644,100,1000,4,16,500,yes,yes,both,no,All upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH54,0.48202,0.155,0.0159,0.03,0,0.114,0.0027397,0.1644,100,1000,4,16,500,yes,yes,both,no,All upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH55,0.48702,0.16,0.0159,0.03,0,0.114,0.0027397,0.1644,100,1000,4,16,500,yes,yes,both,no,partially upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon,RH56,0.30979,0.0768,0.0097,0.1,0,0,0,0.1233,100,500,2,8,300,yes,no,both,no,no upfront,No commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,RH57,0.28099,0.048,0.0097,0.1,0,0,0,0.1233,100,500,2,8,300,yes,no,both,no,no upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,RH58,0.27899,0.046,0.0097,0.1,0,0,0,0.1233,100,500,2,8,300,yes,no,both,no,partially upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,RH59,0.27799,0.045,0.0097,0.1,0,0,0,0.1233,100,500,2,8,300,yes,no,both,no,All upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,RH60,0.26599,0.033,0.0097,0.1,0,0,0,0.1233,100,500,2,8,300,yes,no,both,no,no upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon,RH61,0.26399,0.031,0.0097,0.1,0,0,0,0.1233,100,500,2,8,300,yes,no,both,no,partially upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
