Provider,Price,Deployment Type,CPU,RAM,STORAGE,external_egress,internal_egress,Autoscaling,Term_Length,Instance_Type,OS,Region,Scaling_to_zero,AppService_Domain,Certificates,Regional_Redudancy,Container_support
Google,1.427452055,WebApp,8,32,250,4000,400,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,0.2930136986,WebApp,1,0.5,1000,400,600,no,0,A_Shared,Windows,A_Europe,yes,no,A_no,yes,no
Google,0.5216438356,WebApp,2,1,1000,1000,600,no,0,A_Shared,Windows,A_Europe,yes,no,A_no,yes,no
Google,0.6571232877,WebApp,2,2,1000,1000,1000,no,0,A_Shared,Windows,A_Europe,yes,no,A_no,yes,no
Google,0.7871232877,WebApp,4,2,1000,1000,1000,no,0,A_Shared,Windows,A_Europe,yes,no,A_no,yes,no
Google,0.3971232877,WebApp,1,0.5,1000,1000,1000,yes,0,A_Shared,Windows,A_Europe,yes,no,A_no,yes,no
Google,0.5271232877,WebApp,2,1,1000,1000,1000,yes,0,A_Shared,Windows,A_Europe,yes,no,A_no,yes,no
Google,0.6468493151,WebApp,2,2,1000,1000,1000,yes,0,A_Shared,Windows,A_Europe,yes,yes,A_no,no,no
Google,0.3238184932,WebApp,1,1.75,250,1000,1000,yes,0,A_Shared,Windows,A_Europe,yes,no,A_no,no,yes
Google,0.4075684932,WebApp,2,3.5,250,1000,1000,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,no,yes
Google,0.5750684932,WebApp,4,7,250,1000,2000,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,no,yes
Google,0.3125684932,WebApp,1,0.5,250,1000,2000,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,no,yes
Google,0.3850684932,WebApp,2,1,250,1000,2000,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,no,yes
Google,0.5584520548,WebApp,2,2,250,2000,2000,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,no,yes
Google,0.6034520548,WebApp,2,7,250,2000,2000,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,no,yes
Google,0.8024520548,WebApp,4,14,250,2000,2000,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,no,yes
Google,0.6124520548,WebApp,2,8,250,2000,2000,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,no,yes
Google,0.8204520548,WebApp,4,16,250,2000,2000,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,no,yes
Google,1.49090411,WebApp,8,32,500,2000,2000,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,yes,yes
Google,0.5797945205,WebApp,1,0.5,50,400,400,no,0,A_Shared,Windows,South America,yes,yes,A_no,yes,no
Google,0.6784246575,WebApp,2,1,50,1000,400,no,0,A_Shared,Windows,South America,yes,yes,A_no,yes,no
Google,0.6284246575,WebApp,2,2,50,1000,400,no,0,A_Shared,Windows,South America,yes,yes,A_no,yes,no
Google,0.7784246575,WebApp,4,2,50,1000,400,no,0,A_Shared,Windows,South America,yes,yes,A_no,yes,no
Google,0.3284246575,WebApp,1,0.5,50,1000,400,yes,0,A_Shared,Windows,South America,yes,yes,A_no,yes,no
Google,0.4784246575,WebApp,2,1,50,1000,400,yes,0,A_Shared,Windows,South America,yes,yes,A_no,yes,no
Google,0.6284246575,WebApp,2,2,50,1000,400,yes,0,A_Shared,Windows,South America,yes,yes,A_no,yes,no
Google,0.270989726,WebApp,1,1.75,10,1000,100,yes,0,A_Shared,Windows,South America,yes,no,A_no,yes,yes
Google,0.3733493151,WebApp,2,3.5,10,1000,400,yes,0,A_Shared,Windows,South America,no,no,A_no,yes,yes
Google,0.5698493151,WebApp,4,7,10,1000,400,yes,0,A_Shared,Windows,South America,no,no,A_no,yes,yes
Google,0.2892945205,WebApp,1,0.5,50,1000,400,yes,0,A_Shared,Windows,South America,no,no,A_no,yes,yes
Google,0.3737945205,WebApp,2,1,50,1000,400,yes,0,A_Shared,Windows,South America,no,no,A_no,yes,yes
Google,0.3847945205,WebApp,2,2,50,1000,400,yes,0,A_Shared,Windows,South America,no,no,A_no,yes,yes
Google,0.4397945205,WebApp,2,7,50,1000,400,yes,0,A_Shared,Windows,South America,no,no,A_no,yes,yes
Google,1.167945205,WebApp,4,14,50,4000,400,yes,0,A_Shared,Windows,South America,no,no,A_no,yes,yes
Google,0.9439452055,WebApp,2,8,50,4000,400,yes,0,A_Shared,Windows,South America,no,no,A_no,yes,yes
Google,1.189945205,WebApp,4,16,50,4000,400,yes,0,A_Shared,Windows,South America,no,no,A_no,yes,yes
Google,1.659,WebApp,8,32,50,4000,400,yes,0,A_Shared,Windows,South America,no,no,A_no,no,yes
Google,0.367369863,WebApp,1,0.5,500,1000,100,no,0,A_Shared,Windows,Asia,yes,yes,A_no,yes,no
Google,0.4874794521,WebApp,2,1,500,1000,400,no,0,A_Shared,Windows,Asia,yes,yes,A_no,yes,no
Google,0.6856712329,WebApp,2,2,1000,1000,400,no,0,A_Shared,Windows,Asia,yes,yes,A_no,yes,no
Google,0.8016712329,WebApp,4,2,1000,1000,400,no,0,A_Shared,Windows,Asia,yes,yes,A_no,yes,no
Google,0.4536712329,WebApp,1,0.5,1000,1000,400,yes,0,A_Shared,Windows,Asia,yes,yes,A_no,yes,no
Google,0.7340547945,WebApp,2,1,1000,2000,400,yes,0,A_Shared,Windows,Asia,yes,yes,A_no,yes,no
Google,0.8500547945,WebApp,2,2,1000,2000,400,yes,0,A_Shared,Windows,Asia,yes,yes,A_no,yes,no
Google,0.2453424658,WebApp,1,1.75,10,1000,100,yes,0,A_Shared,Windows,Asia,yes,no,A_no,yes,yes
Google,0.3193424658,WebApp,2,3.5,10,1000,100,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,0.4673424658,WebApp,4,7,10,1000,100,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,0.2353424658,WebApp,1,0.5,10,1000,100,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,0.2993424658,WebApp,2,1,10,1000,100,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,0.3073424658,WebApp,2,2,10,1000,100,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,0.373369863,WebApp,2,7,10,1000,2000,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,0.549369863,WebApp,4,14,10,1000,2000,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,0.8968767123,WebApp,2,8,50,4000,2000,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,1.080876712,WebApp,4,16,50,4000,2000,yes,0,A_Shared,Windows,Asia,no,no,A_no,yes,yes
Google,1.407506849,WebApp,8,32,50,4000,2000,yes,0,A_Shared,Windows,Asia,no,no,A_no,no,yes
Google,0.4894246575,WebApp,1,0.5,500,1000,400,no,0,A_Shared,Windows,Australia,yes,yes,A_no,yes,no
Google,0.6254246575,WebApp,2,1,500,1000,400,no,0,A_Shared,Windows,Australia,yes,yes,A_no,yes,no
Google,1.018273973,WebApp,2,2,500,2000,400,no,0,A_Shared,Windows,Australia,yes,no,A_no,yes,no
Google,1.157013699,WebApp,4,2,500,2000,600,no,0,A_Shared,Windows,Australia,yes,no,A_no,yes,no
Google,0.833260274,WebApp,1,0.5,1000,2000,600,yes,0,A_Shared,Windows,Australia,yes,no,A_no,yes,no
Google,0.8240547945,WebApp,2,1,1000,2000,600,yes,0,A_Shared,Windows,Australia,yes,no,A_no,no,no
Google,0.9600547945,WebApp,2,2,1000,2000,600,yes,0,A_Shared,Windows,Australia,yes,no,A_no,no,no
Google,0.1942945205,WebApp,1,1.75,10,400,100,yes,0,A_Shared,Windows,Australia,yes,no,A_no,yes,yes
Google,0.2827945205,WebApp,2,3.5,10,400,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,yes,yes
